aid,build_buguize,avg_height,std_dev_height,shape_coefficient_sum,jiaochakou,mean_kuai,shape_index,TotalDensity,value_x,duanbofushe,fengsu,jiangshuiliang,pingjundiwen,qiya,rizhaodanweishu,wendu,shidu,zhengfaliang,gdp,dengguang,ndvi,mean_SVF,zuidiqiwen,zuigaoqiwen,ydl,X,X2,Y,value_y,FID_1,gaodu,area,beijing_GF_midu,beijing_JT_midu,beijing_JZ_midu,beijing_LD_midu,beijing_SY_midu,beijing_TCC_midu,poi_hhd,p_cd,p_gyyd,p_gggl,p_gc,p_jt,p_ld,p_nd,p_sl,p_sy,p_sd,p_st,p_zzyd,landuse_hhd,road_length,road_density,population,population_density,bus_coverage_area,subway_coverage_area,wgarea,building_density,building_area,floor_area_ratio,Mean patch size,Percent cover of landscape,Administrative fraction,Sport and cultural fraction
0,0,0,0,0,0,1180.982208,39.5316581,0.066332012,38.29999924,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,23.53930917,6051.811182,0,-2.566583849,11.80700646,20002328.58,435136.3741,116.2382234,40.17018704,38.29999924,0,0,0.014171786,0,0,0,0,0,0,0,0,0,0.007442346,0,0,0,0.024000817,0.103698089,0,0,0,0,0.360994828,0.366359486,25.85132692,0,0,0,0,0.014171786,0,0,0,1180.982208,0,0,0
1,0,0,0,0,0,5441.32643,27.5211247,0.049914778,38.59999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,12.2590127,6881,1,-2.760868073,11.7431736,20002328.58,435782.1609,116.2458032,40.17058871,38.59999847,0,0,0.103385202,9.672564148,0,0,0,0,0,-1.00E-10,0,0,0.019136195,0,0,0,0.119213895,0.342445519,0,0,0,0.331484291,1.06225037,1.167305339,11.29083577,143,1.383176673,0.038381968,0,0.103385202,0,0,0,5441.32643,0,0.331484291,0
2,0,0,0,0,2,4486.855136,70.09598441,0.04981891,38.90000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,14.74138165,7590,1,-2.566583849,11.80700646,20002328.58,436598.9997,116.2553909,40.17108715,38.90000153,0,0,0.201908481,0,4.952738957,0,0,0,0,-1.00E-10,0,0,0.13633109,0,0,0,0.192908234,0.239060379,0,0,0.01608001,0.485041315,1.348556805,1.326248837,6.568564281,80,0.396219117,0.658514759,0.033230096,0.201908481,0,0,0,4486.855136,0,0.485041315,0
3,0,0,0,0,0,14861.92449,26.94774318,0.035069907,38.79999924,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,19.69001198,6051.811182,1,-2.731152058,11.78550529,20002328.58,437440.0219,116.2652628,40.1715849,38.79999924,0,0,0.29723849,0,0,0,0,0,0,0,0,0,0.858706258,0,0,0,0.709148342,0.113285241,0,0,0,0.009574903,0.665760752,0.177796835,0.59816222,0,0,0.816346631,0.29723849,0.29723849,0,0,0,14861.92449,0,0.009574903,0
4,0,0,0,0,1,12285.45686,48.82617471,0.031756433,38.70000076,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,33.29154205,7833,1,-2.772295237,11.74076271,20817910,438286.8655,116.2752031,40.17208953,38.70000076,0,0,0.393134619,2.54365795,0,0,0,0,0,-1.00E-10,0.010518112,0,0.891047731,0.00150253,0,0.012020753,0.50620783,0.053658262,0,0,0,0,0.715194956,0.929877373,2.365289972,186,0.473120379,1.736628303,0.393134619,0.393134619,0,0,0,12285.45686,0,0,0
5,0.481291282,32.07821697,9.743992318,3.407627221,1,15842.17123,45.0043434,0.025008791,38.40000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,22.70604515,7735,0.9601975,-2.752465487,11.77057266,19811490,439129.5893,116.285096,40.17251645,38.40000153,0,0,0.475265137,0,4.208177382,0,0,2.104088691,0,0.636514168,0,0,0.870001283,0,0,0,0.70602992,0.057222719,0,0,0,0,0.530627258,1.531427794,3.222259903,93,0.195680248,0,0.396297623,0.475265137,0.008914553,0.039068953,0.082204543,15842.17123,3.407627221,0,0
6,0.67042442,39.94007763,14.07557484,2.112431817,0,32207.66416,9.376829491,0.017430532,38.29999924,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,8.833852053,7401,0.988911429,-2.742647886,11.78789043,19596218,439969.0128,116.2949543,40.1725554,38.29999924,0,0,0.483114962,2.069900702,0,0,0,0,0,-1.00E-10,0.002445501,0,0.914730472,0,0,0,0.486479314,0.013941607,0,0,0,0,0.506340891,0,0,26,0.053817418,0.257214689,0.006330534,0.483114962,0.011321429,0.112577012,0.233023237,32207.66416,2.112431817,0,0
7,0.45437441,33.55051868,8.171404384,1.815038079,0,14360.29923,26.49318508,0.027705347,38.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,7.703179995,7466,0.936237143,-2.71241951,11.8300066,19435366,440806.3245,116.3047909,40.17229,38.09999847,0,0,0.430808977,4.642428795,2.321214398,23.21214398,2.321214398,4.642428795,2.321214398,1.31565807,0,0,0.897029753,0.000984732,0,0,0.204912927,0.178614955,0,0,0,0,0.736784497,0.545836833,1.267004316,4393,10.19709485,0.346980494,0,0.430808977,0.030095023,0.243140566,0.564381383,14360.29923,1.815038079,0,2.321214398
8,0,0,0,0,1,9475.555675,31.49488154,0.035159106,38.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,10.67049217,7158,1,-2.732765436,11.80988121,20002328.58,441628.5265,116.3144547,40.17155604,38.09999847,0,0,0.28426667,3.517823596,3.517823596,0,0,3.517823596,0,1.098612288,0,0,0.899989108,2.22E-05,0,0,0.363653502,0.194025546,0,0,0,0,0.78108327,0.674185374,2.371665216,824,2.898686643,0.425085935,0,0.28426667,0,0,0,9475.555675,0,0,0
9,0,0,0,0,1,4748.105438,28.21562489,0.058799986,37.90000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,9.335780144,6051.811182,1,-2.566583849,11.80700646,20002328.58,442328.4275,116.3226835,40.17066387,37.90000153,0,0,0.075969687,0,0,0,13.16314492,0,0,-1.00E-10,0,0,0.624714076,0.001623302,0,0,0.132998848,0.736133249,0,0,0,0,0.798154634,0.323931131,4.263952426,12,0.157957739,0.206942685,0,0.075969687,0,0,0,4748.105438,0,0,13.16314492
