aid,build_buguize,avg_height,std_dev_height,shape_coefficient_sum,jiaochakou,mean_kuai,shape_index,TotalDensity,value_x,duanbofushe,fengsu,jiangshuiliang,pingjundiwen,qiya,rizhaodanweishu,wendu,shidu,zhengfaliang,gdp,dengguang,ndvi,mean_SVF,zuidiqiwen,zuigaoqiwen,ydl,X,X2,Y,value_y,FID_1,gaodu,area,beijing_GF_midu,beijing_JT_midu,beijing_JZ_midu,beijing_LD_midu,beijing_SY_midu,beijing_TCC_midu,poi_hhd,p_cd,p_gyyd,p_gggl,p_gc,p_jt,p_ld,p_nd,p_sl,p_sy,p_sd,p_st,p_zzyd,landuse_hhd,road_length,road_density,population,population_density,bus_coverage_area,subway_coverage_area,wgarea,building_density,building_area,floor_area_ratio
109,0.0,0.0,0.0,0.0,2,20499.83849,13.89453008,0.020448124,42.40000153,5600.227051,1.831573248,534.5828857,15.16915035,1012.594604,2589.873535,13.10118771,13.10118771,1382.552734,18674.0,11.76257372,6051.811182,1.0,-2.566583849,11.80700646,20002328.58,463787.4237,116.5748874,40.14141032,42.40000153,0,0,0.2664979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805363508,0.081315892,0.0,0.0,0.0,0.0,0.378385448,0.544696286,2.043904606,24,0.090056995,0.194088773,0.0,0.2664979,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0,8279.910514,25.08426927,0.037433779,42.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,18479.0,10.40715885,6051.811182,1.0,-2.566583849,11.80700646,20002328.58,464633.2953,116.5848187,40.14118568,42.09999847,0,0,0.223557584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002643339,0.0,0.317564956,0.0,0.0,0.0,0.389073806,0.354959077,0.0,0.0,0.0,0.0,1.114890414,0.534664317,2.391617888,52,0.232602263,0.298038488,0.0,0.223557584,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,1,6068.776345,26.97939965,0.045619852,42.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,17976.0,23.53930917,6051.811182,1.0,-2.566583849,11.80700646,20002328.58,465480.8974,116.5947705,40.14093538,42.09999847,0,0,0.175994514,0.0,11.36399058,0.0,0.0,0.0,0.0,-1e-10,0.0,0.0,0.241999475,0.0,0.0,0.0,0.328095092,0.508742701,0.0,0.0,0.0,0.0,1.052814667,2.444415442,13.88915703,117,0.664793449,0.229935886,0.234842714,0.175994514,0.0,0.0,0.0
154,0.579764251,28.96171407,8.54072615,144.9890216,3,12953.37469,118.5691793,0.020176883,42.40000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,20125.0,21.53913832,6495.0,0.65390625,-3.965249777,10.29153442,19935748.0,462089.4252,116.5549959,40.13499902,42.40000153,0,0,0.945596352,32.78354439,2.11506738,8.460269521,0.0,100.4657006,0.0,0.816377424,1.03e-05,0.0,0.0,0.0,0.0,0.006874936,0.210619638,0.045033342,0.958092221,0.0,0.00874489,0.0,0.584517932,3.458080836,3.657036988,3039,3.213844884,1.315053091,0.0,0.945596352,0.171807625,1.354977423,1.432934275
155,0.625031687,33.89739606,22.23761913,127.1886876,3,11392.70922,101.9445145,0.028541629,43.09999847,5599.13623,1.828249335,537.8562012,15.19148827,1012.79541,2585.999512,13.14733124,13.14733124,1383.533569,118852.678,20.21683963,6271.5,0.671381429,-3.850451231,10.43006611,20027562.0,462941.3431,116.5649959,40.13499902,43.09999847,0,0,0.945594865,44.41648485,2.115070707,3.172606061,0.0,136.4220606,0.0,0.689915498,0.012499614,0.200431495,0.096583216,0.0,0.0,0.032468866,0.216724834,0.052455171,0.579541616,0.0,0.000624974,0.0,1.52074722,3.765170688,3.981801115,5884,6.222538021,1.928596813,0.0,0.945594865,0.227878939,2.076513805,2.195986761
156,0.725884607,35.31190388,16.91200325,78.26524174,2,9092.24434,147.7252888,0.030359958,43.0,5598.810059,1.829984188,534.2485352,15.18182659,1012.718262,2588.713379,13.12414265,13.12414265,1382.8927,19889.0,13.23750257,6051.811182,0.635805,-3.842010736,10.43787384,19915992.0,463793.2609,116.5749959,40.13499902,43.0,0,0,0.945593411,9.517832814,2.115073959,5.287684897,0.0,39.12886824,0.0,0.898358557,0.028125734,0.723247441,0.017814495,0.0,0.0,0.084365785,0.241145562,0.09561639,0.0,0.0,0.001249994,0.0,1.190929612,2.681642316,2.835935914,3116,3.295285228,2.108348164,0.0,0.945593411,0.31866101,3.036997797,3.211737477
157,0.82674075,30.04234603,11.04433628,14.20652995,3,15759.86653,72.64052783,0.031318674,42.90000153,5598.44043,1.832628846,530.9271851,15.1663332,1012.536499,2591.593262,13.09492588,13.09492588,1382.12146,18797.0,12.44377025,6812.0,0.936157143,-3.747254133,10.55119419,20603876.0,464645.1784,116.5849959,40.13499902,42.90000153,0,0,0.945591992,1.057538567,3.172615702,1.057538567,0.0,4.230154269,0.0,1.214889654,0.004375008,0.035184958,0.240234735,0.0,0.0,0.026917666,0.507917119,0.258765537,0.0,0.0,0.0,0.0,1.275337537,3.398611769,3.594163021,856,0.905253014,1.557185501,1.050464314,0.945591992,0.062394976,0.570075243,0.602876556
158,0.849400854,30.63144992,11.04262501,54.12374446,0,11531.59275,89.32865584,0.032082968,42.70000076,5599.617676,1.834732533,527.7556152,15.14875221,1012.438477,2595.404297,13.0536499,13.0536499,1381.274414,18795.0,16.71836217,7873.5,0.84492625,-2.566583849,11.80700646,20910416.0,465497.0957,116.5949959,40.13499902,42.70000076,0,0,0.945590606,8.460320939,2.115080235,0.0,0.0,11.63294129,2.115080235,1.144843387,0.0124485,0.0,0.744929577,0.0,0.0,0.0268443,0.323452285,0.193670166,0.0,0.0,0.002499875,0.0,1.069060368,0.321237551,0.339721597,1157,1.223573916,1.674668788,4.462700111,0.945590606,0.082574725,0.694318735,0.734269916
159,0.513448127,30.89149622,15.49639637,203.9271328,2,12755.24029,72.10173607,0.018664928,42.40000153,5599.622559,1.832439303,523.5914917,15.15929222,1012.772034,2597.793213,13.05153275,13.05153275,1381.15979,22719.0,19.29530462,7341.0,0.580947143,-3.652380466,10.66434383,20936786.0,466348.2801,116.6049873,40.1349903,42.40000153,0,0,0.943887782,50.85350286,5.297239881,19.07006357,0.0,191.7600837,0.0,0.819827927,0.01820903,0.0,0.245873118,0.0,0.0,0.013179533,0.100102316,0.050180046,0.0,0.0,0.0,0.716222078,1.094530158,2.002801139,2.121863613,5808,6.153273846,4.28010596,4.719438908,0.943887782,0.315056858,2.656186511,2.814091423
160,0.457095923,30.15011079,12.01401034,18.00877858,2,9518.165967,64.88658122,0.037210528,42.40000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,18.24531889,3249.0,0.871015625,-3.61823678,10.7027216,20002328.58,467020.2343,116.6128827,40.13360792,42.40000153,0,0,0.437835634,6.851886333,13.70377267,11.41981056,2.283962111,34.25943167,9.135848444,1.518727768,0.001349881,0.0,0.669958628,0.0,0.0,0.006748887,0.319944204,0.181590257,0.0,0.0,0.0,0.214492834,1.315609732,1.853793733,4.233994649,1228,2.804705472,1.210575215,2.22597077,0.437835634,0.075366049,0.307463449,0.702234868
