aid,build_buguize,avg_height,std_dev_height,shape_coefficient_sum,jiaochakou,mean_kuai,shape_index,TotalDensity,value_x,duanbofushe,fengsu,jiangshuiliang,pingjundiwen,qiya,rizhaodanweishu,wendu,shidu,zhengfaliang,gdp,dengguang,ndvi,mean_SVF,zuidiqiwen,zuigaoqiwen,ydl,X,X2,Y,value_y,FID_1,gaodu,area,beijing_GF_midu,beijing_JT_midu,beijing_JZ_midu,beijing_LD_midu,beijing_SY_midu,beijing_TCC_midu,poi_hhd,p_cd,p_gyyd,p_gggl,p_gc,p_jt,p_ld,p_nd,p_sl,p_sy,p_sd,p_st,p_zzyd,landuse_hhd,road_length,road_density,population,population_density,bus_coverage_area,subway_coverage_area,wgarea,building_density,building_area,floor_area_ratio
0,0,0,0,0,0,1180.982208,39.5316581,0.066332012,38.29999924,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,23.53930917,6051.811182,0,-2.566583849,11.80700646,20002328.58,435136.3741,116.2382234,40.17018704,38.29999924,0,0,0.014171786,0,0,0,0,0,0,0,0,0,0.007442346,0,0,0,0.024000817,0.103698089,0,0,0,0,0.360994828,0.366359486,25.85132692,0,0,0,0,0.014171786,0,0,0
1,0,0,0,0,0,5441.32643,27.5211247,0.049914778,38.59999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,12.2590127,6881,1,-2.760868073,11.7431736,20002328.58,435782.1609,116.2458032,40.17058871,38.59999847,0,0,0.103385202,9.672564148,0,0,0,0,0,-1.00E-10,0,0,0.019136195,0,0,0,0.119213895,0.342445519,0,0,0,0.331484291,1.06225037,1.167305339,11.29083577,143,1.383176673,0.038381968,0,0.103385202,0,0,0
2,0,0,0,0,2,4486.855136,70.09598441,0.04981891,38.90000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,14.74138165,7590,1,-2.566583849,11.80700646,20002328.58,436598.9997,116.2553909,40.17108715,38.90000153,0,0,0.201908481,0,4.952738957,0,0,0,0,-1.00E-10,0,0,0.13633109,0,0,0,0.192908234,0.239060379,0,0,0.01608001,0.485041315,1.348556805,1.326248837,6.568564281,80,0.396219117,0.658514759,0.033230096,0.201908481,0,0,0
3,0,0,0,0,0,14861.92449,26.94774318,0.035069907,38.79999924,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,19.69001198,6051.811182,1,-2.731152058,11.78550529,20002328.58,437440.0219,116.2652628,40.1715849,38.79999924,0,0,0.29723849,0,0,0,0,0,0,0,0,0,0.858706258,0,0,0,0.709148342,0.113285241,0,0,0,0.009574903,0.665760752,0.177796835,0.59816222,0,0,0.816346631,0.29723849,0.29723849,0,0,0
4,0,0,0,0,1,12285.45686,48.82617471,0.031756433,38.70000076,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,33.29154205,7833,1,-2.772295237,11.74076271,20817910,438286.8655,116.2752031,40.17208953,38.70000076,0,0,0.393134619,2.54365795,0,0,0,0,0,-1.00E-10,0.010518112,0,0.891047731,0.00150253,0,0.012020753,0.50620783,0.053658262,0,0,0,0,0.715194956,0.929877373,2.365289972,186,0.473120379,1.736628303,0.393134619,0.393134619,0,0,0
5,0.481291282,32.07821697,9.743992318,3.407627221,1,15842.17123,45.0043434,0.025008791,38.40000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,22.70604515,7735,0.9601975,-2.752465487,11.77057266,19811490,439129.5893,116.285096,40.17251645,38.40000153,0,0,0.475265137,0,4.208177382,0,0,2.104088691,0,0.636514168,0,0,0.870001283,0,0,0,0.70602992,0.057222719,0,0,0,0,0.530627258,1.531427794,3.222259903,93,0.195680248,0,0.396297623,0.475265137,0.008914553,0.039068953,0.082204543
6,0.67042442,39.94007763,14.07557484,2.112431817,0,32207.66416,9.376829491,0.017430532,38.29999924,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,8.833852053,7401,0.988911429,-2.742647886,11.78789043,19596218,439969.0128,116.2949543,40.1725554,38.29999924,0,0,0.483114962,2.069900702,0,0,0,0,0,-1.00E-10,0.002445501,0,0.914730472,0,0,0,0.486479314,0.013941607,0,0,0,0,0.506340891,0,0,26,0.053817418,0.257214689,0.006330534,0.483114962,0.011321429,0.112577012,0.233023237
7,0.45437441,33.55051868,8.171404384,1.815038079,0,14360.29923,26.49318508,0.027705347,38.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,7.703179995,7466,0.936237143,-2.71241951,11.8300066,19435366,440806.3245,116.3047909,40.17229,38.09999847,0,0,0.430808977,4.642428795,2.321214398,23.21214398,2.321214398,4.642428795,2.321214398,1.31565807,0,0,0.897029753,0.000984732,0,0,0.204912927,0.178614955,0,0,0,0,0.736784497,0.545836833,1.267004316,4393,10.19709485,0.346980494,0,0.430808977,0.030095023,0.243140566,0.564381383
8,0,0,0,0,1,9475.555675,31.49488154,0.035159106,38.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,10.67049217,7158,1,-2.732765436,11.80988121,20002328.58,441628.5265,116.3144547,40.17155604,38.09999847,0,0,0.28426667,3.517823596,3.517823596,0,0,3.517823596,0,1.098612288,0,0,0.899989108,2.22E-05,0,0,0.363653502,0.194025546,0,0,0,0,0.78108327,0.674185374,2.371665216,824,2.898686643,0.425085935,0,0.28426667,0,0,0
9,0,0,0,0,1,4748.105438,28.21562489,0.058799986,37.90000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,9.335780144,6051.811182,1,-2.566583849,11.80700646,20002328.58,442328.4275,116.3226835,40.17066387,37.90000153,0,0,0.075969687,0,0,0,13.16314492,0,0,-1.00E-10,0,0,0.624714076,0.001623302,0,0,0.132998848,0.736133249,0,0,0,0,0.798154634,0.323931131,4.263952426,12,0.157957739,0.206942685,0,0.075969687,0,0,0
10,0,0,0,0,0,1370.51888,3.258742362,0.065194066,36.29999924,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,23.53930917,6051.811182,0,-2.566583849,11.80700646,20002328.58,429255.3297,116.1692754,40.1603568,36.29999924,0,0,0.010964151,0,0,0,0,0,0,0,0,0,0.584848232,0,0,0,0.214800372,0,0,0,0,0,0.644087179,0.138140348,12.59927446,13,1.185682316,0,0,0.010964151,0,0,0
11,0,0,0,0,2,19639.38316,13.71046383,0.031380797,37,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,23.01233387,6051.811182,1,-2.340510607,12.21455479,20002328.58,429820.0839,116.1758921,40.1615947,37,0,0,0.274951364,3.637006867,7.274013735,0,3.637006867,0,0,1.039720771,0.004297736,0,0.738626366,0,0,0,0.332975853,0.021488322,0,0,0,0,0.695886833,2.880473812,10.47630304,262,0.952895799,0.093561879,0,0.274951364,0,0,0
12,0.4336526,35.06661078,25.94510517,3.26101275,1,24667.93267,15.99639749,0.019967374,37.5,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,14.37742186,6673,0.943214286,-2.534519434,11.98334217,10465641,430610.9095,116.1851678,40.16248709,37.5,0,0,0.468690721,0,0,0,0,4.267206308,0,-1.00E-10,0.00378167,0,0.92087696,0,0,0.00378172,0.669931426,0.044014521,0,0,0,0,0.523921056,1.860348208,3.969244804,251,0.535534392,0.259415522,0,0.468690721,0.019764807,0.092812119,0.19802423
13,0.412827416,26.42322736,3.483064908,2.669720715,0,21334.34247,25.83707437,0.024506528,37.70000076,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,8.278961897,6519,0.958111111,-2.566583849,11.80700646,20002328.58,431458.9802,116.1951212,40.16293854,37.70000076,0,0,0.554692904,0,0,0,0,0,0,0,0.004260388,0,0.953328173,0,0,0,0.497562146,0.185263356,0,0,0,0,0.72848567,0,0,114,0.205519124,0.15469403,0,0.554692904,0.00586691,0.02452065,0.044205811
14,0.60626087,28.65123279,9.974097035,49.8582021,2,21576.841,31.75090408,0.018967018,37.90000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,14.19984674,7623,0.811514,-2.652350426,11.84540462,11457485,432311.3941,116.2051253,40.16342978,37.90000153,0,0,0.64730523,9.269197469,6.179464979,1.544866245,0,18.53839494,3.08973249,1.318839488,0,0,0.727120777,0,0.103908188,0.004563562,0.400790985,0.047664976,0,0,0,0,1.003096567,3.088347305,4.771083504,534,0.824958575,0.93247407,0,0.64730523,0.079611779,0.419714415,0.648402632
15,0.587858869,28.81047126,11.32464352,215.3053381,0,17389.93786,61.94696703,0.017475068,38.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,9.459521294,4750,0.679894231,-2.683861256,11.81316376,11355927,433161.9981,116.2151078,40.16396027,38.09999847,0,0,0.747767328,28.08360196,0,0,0,82.91349149,0,0.565620089,0.002370203,0,0,0,0.968933366,0.003160278,0.219138209,0.067012294,0,0,0,0,0.57688984,0.12515595,0.167372851,1515,2.026031284,0.448161319,0,0.747767328,0.1970019,1.209525189,1.617515427
16,1.475255962,38.86041021,23.72751077,22.13639271,4,17669.63936,47.0218716,0.026556514,38.40000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,8.488236189,5401,0.912558824,-2.831867695,11.63793945,16937126,434012.9418,116.2250945,40.16449054,38.40000153,0,0,0.848142689,1.17904689,0,0,0,1.17904689,0,0.69314718,0,0,0.037903705,0.00208983,0.872437006,0,0.550525742,0.128253112,0,0,0,0,0.847998753,5.395383919,6.361410628,319,0.376115958,0.42017073,0,0.848142689,0.033228084,0.324096218,0.382124637
17,0.692129262,49.9291321,31.54665968,18.10433724,3,12625.12905,83.47364662,0.027713534,39.20000076,5619.674805,1.806553364,605.8815918,15.14575291,1010.278748,2545.471436,13.35970688,13.35970688,1396.275269,8534,17.55386424,6487,0.882932432,-2.812424183,11.66786003,17510136,434859.9826,116.2350363,40.16494217,39.20000076,0,0,0.934259549,6.422198204,7.492564571,3.211099102,0,18.19622824,5.351831836,1.430228761,0.000632338,0,0.020845832,0,0.663863642,0.006955996,0.308650728,0.186517444,0,0,0,0.029979618,1.173057105,11.67047511,12.49168404,2507,2.683408483,0.964233751,0,0.934259549,0.052543185,0.708506517,0.758361547
18,0.784590282,31.77283519,14.70706331,112.1440613,0,16021.15421,59.51940733,0.017557973,39.5,5618.526367,1.808230281,606.1898193,15.14727688,1010.357483,2545.807373,13.35711002,13.35711002,1395.759644,11173,13.59474206,5186,0.705280952,-2.747220039,11.75371265,19898814,435708.1435,116.2449959,40.16499902,39.5,0,0,0.945248098,10.57923313,2.115846627,0,3.17376994,8.463386506,1.057923313,1.330407393,0.001249929,0,0.00050574,0,0.003533217,0.004374888,0.165481009,0.085674298,0,0,0.001250041,0.923429344,0.646024426,1.075335628,1.137622631,5072,5.365787045,1.11073193,0,0.945248098,0.084704734,0.733262369,0.775735355
19,0.673077423,51.89342145,36.80008591,78.12020556,6,12773.58873,63.89528346,0.022492605,39.40000153,5617.478516,1.808901548,606.0112915,15.15399265,1010.535522,2546.127441,13.35936165,13.35936165,1395.374878,10427,21.05986381,5219,0.67299,-2.566583849,11.80700646,20002328.58,436559.6948,116.2549959,40.16499902,39.40000153,0,0,0.945245566,151.2834391,11.63718762,14.81096606,2.115852295,180.9053712,2.115852295,1.012635725,0,0,0,0,0,0,0.29144782,0.061842372,0,0.001250033,0.003124828,0.981532408,0.576119115,8.532168738,9.026404401,11805,12.48881817,7.263442427,0.37495762,0.945245566,0.099139697,1.398747583,1.479771642
20,0.426262839,55.12307889,37.90441308,31.83232266,7,16879.34049,72.43814739,0.02033372,39.29999924,5616.327148,1.811422825,606.0374146,15.14974117,1010.503174,2546.772217,13.34974861,13.34974861,1394.728149,10814,27.68960524,6051.811182,0.76869125,-2.763015032,11.74007034,20277292,437411.2458,116.2649959,40.16499902,39.29999924,0,0,0.945243068,29.62201042,11.63721838,14.81100521,1.057928944,61.35987873,2.115857887,1.28429173,0,0,0.121730565,0,0,0,0.289772665,0.056208569,0,0,0.00062499,0.8397349,0.928380834,7.936639062,8.396400178,4604,4.870704856,7.396948141,0.945243068,0.945243068,0.084103599,1.245341185,1.317482484
21,0.734117507,44.86539104,26.18151979,45.27528154,2,20111.50219,46.25447024,0.023472077,39.20000076,5617.210938,1.814478159,603.8687744,15.14697266,1010.624878,2548.897705,13.33555794,13.33555794,1394.118652,118852.678,27.19043541,6561,0.865175714,-2.702625036,11.81964016,20411410,438262.7965,116.2749959,40.16499902,39.20000076,0,0,0.945240603,8.463453616,14.81104383,2.115863404,0,16.92690723,1.057931702,1.290887948,0,0,0.648452329,0,0,0,0.585687496,0.056232673,0,0,0,0.275806708,1.111318926,3.376584901,3.572196211,1527,1.615461709,5.263800122,1.210583062,0.945240603,0.046757913,0.567039816,0.599889397
22,0.791627079,29.96842332,11.86833941,45.13865501,1,13313.21369,62.06586518,0.030415649,39.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,11469,21.42142105,7682,0.88145875,-2.652245998,11.88672924,20032626,439114.3468,116.2849959,40.16499902,39.09999847,0,0,0.945238172,3.173803268,0,1.057934423,0,3.173803268,0,1.004242473,0.004999956,0,0.942864315,0,0,0,0.641185668,0.173731356,0,0,0.001875127,0,0.682775487,1.315322878,1.39152535,326,0.344886622,0.017267431,1.575969512,0.945238172,0.028421566,0.230897636,0.244274557
23,0.62823347,33.80909835,21.91816166,21.46438021,0,13900.5261,67.08455047,0.023171549,39,5616.18457,1.815919161,603.1693115,15.14778042,1010.689941,2549.612061,13.32994366,13.32994366,1393.603516,9637,9.122638941,6566,0.869238571,-2.667652369,11.87294388,19357620,439965.8968,116.2949959,40.16499902,39,0,0,0.945235775,7.40555974,1.057937106,3.173811317,0,12.69524527,0,1.103490402,0,0.005008324,0.944598178,0.000624989,0,0,0.482081294,0.101304605,0,0,0.002500026,0,0.683651572,1.040359369,1.10063478,673,0.711991672,0.971215984,0.26445666,0.945235775,0.023048119,0.221204768,0.234020732
24,0.724511694,36.71772455,15.47744632,35.77534232,5,13900.49135,61.84117571,0.028190831,39.09999847,5615.123047,1.818266511,602.4686279,15.14305019,1010.649109,2550.534912,13.31813812,13.31813812,1392.95752,9706,9.948183537,7892,0.8871775,-2.52067399,12.05802631,17415096,440817.4465,116.3049959,40.16499902,39.09999847,0,0,0.945233412,3.173819252,3.173819252,0,0,9.521457757,0,0.950270539,0.006250145,0.052628974,0.698497948,0,0,0.000625005,0.56624433,0.093199331,0,0,0,0.131596715,1.252017306,5.81292808,6.149727685,2293,2.425855849,1.450323399,0,0.945233412,0.053221277,0.543649218,0.575148118
25,0.872469456,36.93163236,22.11526459,86.84126504,5,10274.25089,84.43183925,0.029683601,39,5614.300293,1.817719579,600.855835,15.15435314,1010.916016,2551.21167,13.32248974,13.32248974,1392.704346,9439,12.18184805,7809,0.713274286,-2.733564615,11.80164719,15145981,441668.9959,116.3149959,40.16499902,39,0,0,0.945231082,43.37563668,5.289711791,10.57942358,0,67.70831092,0,1.041674971,0.006875233,0,0.487409663,0,0,0.005625035,0.282506613,0.09314248,0,0,0.001250017,0.398978242,1.366800362,4.804426471,5.082806271,2832,2.996092758,1.879558818,0,0.945231082,0.065163013,0.6491884,0.686803907
26,1.053227165,30.11740301,12.43512092,31.19619719,0,15931.21416,49.69054799,0.020470991,38.79999924,5612.566162,1.816452742,599.8661804,15.1673727,1011.153015,2551.258789,13.33151913,13.33151913,1392.496765,118852.678,8.973424911,6640,0.86722,-2.566583849,11.80700646,20002328.58,442518.4569,116.3249716,40.16497193,38.79999924,0,0,0.939941635,4.255583379,3.191687534,0,0,4.255583379,0,1.090059658,0.003750332,0,0.050302308,0,0,0.001864779,0.228368298,0.104266626,0,0,0,0.831329657,0.90960774,2.424048762,2.578935406,295,0.313849274,1.028915196,0,0.939941635,0.010438598,0.084256869,0.089640532
